Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,9.630000,9.670000,9.430000,9.540000,7.670632,46677600
2018-11-15,9.500000,9.530000,9.120000,9.310000,7.485702,57170100
2018-11-16,9.280000,9.310000,8.980000,9.050000,7.276650,54582500
2018-11-19,9.020000,9.360000,8.960000,9.250000,7.437460,56292500
2018-11-20,9.100000,9.220000,9.010000,9.060000,7.284689,35159900
2018-11-21,9.050000,9.200000,8.980000,9.110000,7.324893,25882700
2018-11-23,9.070000,9.220000,9.030000,9.130000,7.340972,13520800
2018-11-26,9.230000,9.530000,9.170000,9.400000,7.558067,46304400
2018-11-27,9.370000,9.430000,9.250000,9.280000,7.461581,34283200
2018-11-28,9.270000,9.440000,9.170000,9.410000,7.566107,33199500
2018-11-29,9.370000,9.440000,9.260000,9.370000,7.533945,29207600
2018-11-30,9.370000,9.480000,9.360000,9.410000,7.566107,36269500
2018-12-03,9.710000,9.850000,9.600000,9.600000,7.718876,64668600
2018-12-04,9.550000,9.600000,9.180000,9.180000,7.381176,57930300
2018-12-06,9.120000,9.120000,8.920000,9.020000,7.252528,53963600
2018-12-07,9.020000,9.130000,8.800000,8.820000,7.091718,43534800
2018-12-10,8.830000,8.850000,8.380000,8.520000,6.850503,56499700
2018-12-11,8.720000,8.800000,8.500000,8.540000,6.866584,42294500
2018-12-12,8.640000,8.730000,8.590000,8.640000,6.946989,40602700
2018-12-13,8.670000,8.700000,8.460000,8.500000,6.834422,34200400
2018-12-14,8.520000,8.680000,8.460000,8.520000,6.850503,35613300
2018-12-17,8.480000,8.720000,8.410000,8.500000,6.834422,44469900
2018-12-18,8.550000,8.680000,8.410000,8.470000,6.810301,38263000
2018-12-19,8.460000,8.650000,8.270000,8.320000,6.689692,75272900
2018-12-20,8.330000,8.420000,8.180000,8.260000,6.641450,58926200
2018-12-21,8.220000,8.400000,8.040000,8.050000,6.472600,57542300
2018-12-24,8.010000,8.010000,7.610000,7.630000,6.134899,38709500
2018-12-26,7.730000,7.860000,7.410000,7.850000,6.311790,58810000
2018-12-27,7.820000,7.850000,7.530000,7.850000,6.311790,49813000
2018-12-28,7.830000,8.040000,7.760000,7.810000,6.279627,47331700
2018-12-31,7.850000,7.860000,7.500000,7.650000,6.150980,57816000
2019-01-02,7.530000,8.020000,7.480000,7.900000,6.351992,47494400
2019-01-03,7.970000,7.990000,7.780000,7.780000,6.255507,39172400
2019-01-04,7.910000,8.120000,7.850000,8.080000,6.496721,43039800
2019-01-07,8.110000,8.370000,8.030000,8.290000,6.665571,40729400
2019-01-08,8.420000,8.540000,8.350000,8.370000,6.729896,45644000
2019-01-09,8.450000,8.770000,8.360000,8.720000,7.011313,48404900
2019-01-10,8.710000,8.770000,8.450000,8.670000,6.971110,39490400
2019-01-11,8.770000,8.930000,8.700000,8.820000,7.091718,41559900
2019-01-14,8.800000,9.060000,8.760000,8.990000,7.228407,44833800
2019-01-15,9.020000,9.030000,8.750000,8.840000,7.107800,65311700
2019-01-16,8.680000,8.770000,8.260000,8.290000,6.665571,73869900
2019-01-17,8.270000,8.440000,8.210000,8.360000,6.721855,56722600
2019-01-18,8.390000,8.600000,8.330000,8.580000,6.898745,51127900
2019-01-22,8.540000,8.610000,8.460000,8.500000,6.834422,47182600
2019-01-23,8.540000,8.540000,8.280000,8.340000,6.705774,45196900
2019-01-24,8.320000,8.680000,8.220000,8.600000,6.914828,79516400
2019-01-25,8.740000,8.960000,8.730000,8.860000,7.123880,53098800
2019-01-28,8.800000,8.800000,8.580000,8.660000,6.963071,42116300
2019-01-29,8.710000,8.790000,8.620000,8.760000,7.043474,30485000
2019-01-30,8.660000,8.720000,8.520000,8.710000,7.125280,29906100
2019-01-31,8.620000,8.820000,8.600000,8.800000,7.198906,39389100
2019-02-01,8.770000,8.810000,8.620000,8.720000,7.133461,34124000
2019-02-04,8.700000,8.700000,8.590000,8.700000,7.117100,28855600
2019-02-05,8.680000,8.760000,8.650000,8.750000,7.158003,26166800
2019-02-06,8.790000,8.900000,8.680000,8.720000,7.133461,32644300
2019-02-07,8.620000,8.620000,8.290000,8.310000,6.798058,55161800
2019-02-08,8.290000,8.410000,8.160000,8.390000,6.863503,38650100
2019-02-11,8.410000,8.440000,8.290000,8.330000,6.814419,27403500
2019-02-12,8.380000,8.470000,8.380000,8.460000,6.920766,26235100
2019-02-13,8.450000,8.660000,8.390000,8.410000,6.879863,27182900
2019-02-14,8.380000,8.470000,8.320000,8.420000,6.888044,23569900
2019-02-15,8.490000,8.560000,8.410000,8.540000,6.986211,58080300
2019-02-19,8.530000,8.850000,8.530000,8.830000,7.223447,37929200
2019-02-20,8.830000,8.980000,8.820000,8.940000,7.313433,55316900
2019-02-21,8.940000,8.960000,8.700000,8.710000,7.125280,44730400
2019-02-22,8.730000,8.750000,8.560000,8.710000,7.125280,40947500
2019-02-25,8.770000,8.850000,8.750000,8.760000,7.166182,56615400
2019-02-26,8.750000,8.940000,8.720000,8.880000,7.264349,38348800
2019-02-27,8.830000,8.910000,8.780000,8.780000,7.182545,34093300
2019-02-28,8.770000,8.790000,8.600000,8.770000,7.174364,43960500
2019-03-01,8.850000,8.890000,8.710000,8.790000,7.190723,37699500
2019-03-04,8.830000,8.970000,8.760000,8.810000,7.207087,46196900
2019-03-05,8.800000,8.810000,8.700000,8.770000,7.174364,40852600
2019-03-06,8.750000,8.780000,8.560000,8.580000,7.018932,50378600
2019-03-07,8.560000,8.570000,8.350000,8.480000,6.937127,54286000
2019-03-08,8.400000,8.470000,8.340000,8.420000,6.888044,43766800
2019-03-11,8.460000,8.630000,8.450000,8.610000,7.043475,36875300
2019-03-12,8.650000,8.700000,8.550000,8.570000,7.010752,37805000
2019-03-13,8.590000,8.650000,8.500000,8.530000,6.978030,49018700
2019-03-14,8.520000,8.550000,8.400000,8.410000,6.879863,36307900
2019-03-15,8.420000,8.470000,8.370000,8.430000,6.896225,66555500
2019-03-18,8.450000,8.570000,8.420000,8.570000,7.010752,37198300
2019-03-19,8.610000,8.870000,8.610000,8.700000,7.117100,57293600
